timestamp,cpu,mem free,disk,eth
11:30:07,7,491M,0%
11:30:08,6,491M,4%,0%
11:30:09,7,491M,10%,0%
11:30:10,9,491M,10%,0%
11:30:11,29,491M,10%,0%
11:30:12,12,491M,13%,0%
11:30:13,5,491M,13%,0%
11:30:14,8,491M,13%,0%
11:30:15,10,490M,10%,0%
11:30:16,29,491M,10%,0%
11:30:17,8,491M,10%,0%
11:30:18,8,491M,10%,0%
11:30:19,7,491M,10%,0%
11:30:20,35,491M,4%,97%
11:30:21,77,491M,17%,98%
11:30:22,31,491M,17%,98%
11:30:23,24,491M,17%,98%
11:30:24,39,491M,15%,98%
11:30:25,30,491M,15%,98%
11:30:26,69,491M,15%,98%
11:30:27,24,491M,15%,98%
11:30:28,112,491M,15%,98%
11:30:29,119,491M,7%,98%
11:30:30,119,491M,4%,98%
11:30:31,114,491M,4%,98%
11:30:32,69,490M,19%,98%
11:30:33,28,490M,19%,98%
11:30:34,22,490M,9%,98%
11:30:35,121,490M,7%,98%
11:30:36,128,491M,7%,98%
11:30:37,124,491M,7%,98%
11:30:38,94,491M,14%,98%
11:30:39,45,491M,5%,98%
11:30:40,28,491M,5%,98%
11:30:41,55,490M,8%,98%
11:30:42,31,490M,8%,98%
11:30:43,27,490M,8%,97%
11:30:44,28,490M,9%,98%
11:30:45,25,490M,9%,98%
11:30:46,61,491M,9%,98%
11:30:47,40,491M,14%,98%
11:30:48,36,491M,14%,98%
11:30:49,39,491M,14%,98%
11:30:50,32,491M,7%,98%
11:30:51,65,491M,3%,98%
11:30:52,44,491M,3%,98%
11:30:53,52,491M,3%,98%
11:30:54,43,491M,8%,98%
11:30:55,42,491M,8%,98%
11:30:56,62,491M,8%,98%
11:30:57,34,491M,10%,98%
11:30:58,32,491M,10%,98%
11:30:59,32,491M,4%,98%
11:31:00,33,491M,10%,98%
11:31:01,122,490M,10%,98%
11:31:02,127,485M,10%,98%
11:31:03,119,486M,4%,98%
11:31:04,116,489M,15%,98%
11:31:05,59,489M,7%,98%
11:31:06,92,489M,7%,98%
11:31:07,63,490M,7%,98%
11:31:08,31,490M,25%,98%
11:31:09,42,490M,25%,98%
11:31:10,48,490M,4%,98%
11:31:11,59,490M,11%,98%
11:31:12,49,490M,11%,98%
11:31:13,44,490M,11%,98%
11:31:14,54,490M,10%,98%
11:31:15,42,490M,4%,98%
11:31:16,72,490M,4%,98%
11:31:17,44,490M,9%,98%
11:31:18,42,490M,9%,98%
11:31:19,27,490M,9%,97%
11:31:20,6,490M,11%,0%
11:31:21,29,490M,11%,0%
11:31:22,168,489M,4%,0%
11:31:23,88,489M,19%,0%
11:31:24,6,489M,19%,0%
11:31:25,5,489M,19%,0%
11:31:26,49,489M,8%,0%
